№;Тип установи;Код за ЄДРПОУ;Повне найменування;Повна адреса;ПІБ керівника;Дата видачі
81;Фінансова компанія;40988857;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОФЕСІЙНА ФАКТОРИНГОВА ГРУПА""";04053 КИЇВ, КИЇВ 53, Володимира Винниченка, буд.7;Супрунець Тарас Петрович;12.01.2017
82;Ломбард;40196308;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД"" ""КРЕДИТКА"" ТОВ ""ТІП-ТОП СЕРВІС"" ТА ТОВ ""КУБА-СЕРВІС""";51934 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, КАМ'ЯНСЬКЕ, МІСТО КАМ'ЯНСЬКЕ, проспект Свободи, буд.60, оф.(кв.)приміщення 01;Бачаєв  Роман Олексійович;12.01.2017
83;Фінансова компанія;40952794;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""МОТУС АНТЕ""";03035 КИЇВ, КИЇВ 35, ВУЛИЦЯ КУДРЯШОВА, буд.20 А, корп.-, оф.(кв.)28;ВОТЧЕНІКОВ   МАКСИМ ВІТАЛІЙОВИЧ;22.12.2016
84;Фінансова компанія;40937865;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ПРЕМІУМ КЕПІТАЛ ГРУП""";01133 КИЇВ, КИЇВ 133, ВУЛИЦЯ КУТУЗОВА, буд.18/7;Махота Сергій Олександрович;22.12.2016
85;Фінансова компанія;40923082;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""СІ ПІ ЕС ФАКТОРИНГ""";03150 КИЇВ, КИЇВ 150, Велика Васильківська, буд.129;Шавалюк  Олег  Романович;22.12.2016
86;Фінансова компанія;40911480;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ПРИОРИТЕТ""";01004 КИЇВ, КИЇВ 4, Басейна, буд.9;Сизова  Ірина  Олексіївна ;22.12.2016
87;Фінансова компанія;40911449;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФАКТОР ГРУП""";03150 КИЇВ, КИЇВ 150, Велика Васильківська, буд.129;Вавренчук Михайло Андрійович;22.12.2016
88;Фінансова компанія;40909251;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІНУНІВЕРСАЛ""";01001 КИЇВ, КИЇВ 1, МИХАЙЛІВСЬКА, буд.21 Б, оф.(кв.)Н/П 34;Дорошенко Олена Володимирівна;22.12.2016
89;Фінансова компанія;40909230;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІНКЕПІТАЛ""";03058 КИЇВ, КИЇВ 58, ЛЕБЕДЄВА-КУМАЧА, буд.5, оф.(кв.)Н/П 134;Марчук Денис Петрович;22.12.2016
90;Фінансова компанія;40909183;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ФІНГРЕЙТІНГ""";03057 КИЇВ, КИЇВ 57, Вадима Гетьмана, буд.1;Кучинська Наталія Миколаївна;22.12.2016
91;Ломбард;40905105;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД"" ДОМАШНІЙ"" ТОВ ""СЕВЕН ГОЛДЕН СІТІ"" І КОМПАНІЯ""";01135 КИЇВ, КИЇВ 135, Полтавська, буд.10;ЛАЗЕПКА  ВАЛЕНТИН  ІГОРОВИЧ;22.12.2016
92;Ломбард;40901865;"Повне Товариство ""Ломбард ""Профіт"" Товариство з обмеженою відповідальністю ""Профігруп КР"" і компанія""";50106 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, КРИВИЙ РІГ, МІСТО КРИВИЙ РІГ, МКРН Зарічний четвертий, буд.30 А, корп.-, оф.(кв.)-;Андрушко Олександр Олександрович;22.12.2016
93;Фінансова компанія;40888766;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ІНТЕГРІТІ""";03049 КИЇВ, КИЇВ 49, Тополева, буд.4, корп.-, оф.(кв.)19;Денисенко Сергій Володимирович;22.12.2016
94;Фінансова компанія;40638313;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «БРАВО»;04119 КИЇВ, КИЇВ 119, вулиця Якіра, буд.8;Непомнящий  Максим Євгенович;22.12.2016
95;Фінансова компанія;40608074;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ТРАСТ КЕПІТАЛ»;03083 КИЇВ, КИЇВ 83, ПРОСПЕКТ НАУКИ, буд.50;КОНТУШ ОЛЬГА  ВІКТОРІВНА;22.12.2016
96;Фінансова компанія;40607924;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «СПЕЙР»;03150 КИЇВ, КИЇВ 150, ВЕЛИКА ВАСИЛЬКІВСЬКА, буд.129;КОНТУШ ЯРОСЛАВ ВІКТОРОВИЧ;22.12.2016
97;Фінансова компанія;40607919;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ТРЕЙД КОМПАНІ»;01030 КИЇВ, КИЇВ 30, ЛЕОНТОВИЧА, буд.7;ЮРЧИК ЮРІЙ ВІКТОРОВИЧ;22.12.2016
98;Фінансова компанія;39591555;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ГРАНДЕ ФІНАНС""";01001 КИЇВ, КИЇВ 1, Мала Житомирська, буд.16/3, корп.нежиле приміщення, оф.(кв.)з №1 по №8 в літ. А;Діброва Віктор Валерійович;22.12.2016
99;Фінансова компанія;38203876;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КАШТАН ЛІЗИНГ""";01054 КИЇВ, КИЇВ 54, Тургенєвська, буд.38;Веретенін Євген Олексійович;22.12.2016
100;Фінансова компанія;40843133;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНС АЛЬЯНС""";04053 КИЇВ, КИЇВ 53, УЗВІЗ ВОЗНЕСЕНСЬКИЙ, буд.14, оф.(кв.)16/24;Кальченко Роман Вікторович;20.12.2016
101;Ломбард;40692077;ПОВНЕ ТОВАРИСТВО «ЛОМБАРД «ЩЕДРИЙ» ЗА УЧАСТЮ ТОВ «ДЕПОЗИТ-ІНВЕСТ КАПІТАЛ» ТА ТОВ «ЗНАННЯ-КАПІТАЛ»;04119 КИЇВ, КИЇВ 119, ДЕРЕВЛЯНСЬКА, буд.10-А, оф.(кв.)12;Романенко  Сергій  Миколайович;20.12.2016
102;Ломбард;40692014;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""7КАРАТ""  ЗА УЧАСТЮ ТОВ ""СТРАТЕГІЯ-КАПІТАЛ"" ТА  ТОВ ""ГОЛД-КАПІТАЛ ГРУП""";04119 КИЇВ, КИЇВ 119, ДЕРЕВЛЯНСЬКА, буд.10-А, оф.(кв.)13;Романенко  Сергій Миколайович;20.12.2016
103;Фінансова компанія;40916672;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""МУСТАНГ ФІНАНС""";01015 КИЇВ, КИЇВ 15, СТАРОНАВОДНИЦЬКА, буд.13 А, корп.Е, оф.(кв.)44;ЗЕМЛЯНА  ІРИНА  ОЛЕКСАНДРІВНА;13.12.2016
104;Інша кредитна установа;40829260;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРЕМІУМ КРЕДИТ"" ";02140 КИЇВ, КИЇВ 140, Мішуги, буд.10, оф.(кв.)422;Гужва  Андрій  Іванович ;13.12.2016
105;Фінансова компанія;40256775;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КОМЕРЦ-ІНВЕСТГРУП""";08316 КИЇВСЬКА ОБЛАСТЬ, БОРИСПІЛЬСКИЙ РАЙОН БОРИСПІЛЬ, Центральна, буд.7, оф.(кв.)приміщення 47;Леоненко Олександр Петрович;13.12.2016
106;Фінансова компанія;40901870;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""БІЗНЕС ОРБІТА ГРУП""";01133 КИЇВ, КИЇВ 133, ЄВГЕНА КОНОВАЛЬЦЯ, буд.36-В;СТРЖАЛКІВСЬКА ВАЛЕНТИНА МИХАЙЛІВНА;06.12.2016
107;Фінансова компанія;40807561;"Товариство з обмеженою відповідальністю ""ЛЕММА КАПІТАЛ""";01032 КИЇВ, КИЇВ 32, Льва Толстого, буд.33, оф.(кв.)75;Присядько  Ірина Сергіївна;06.12.2016
108;Ломбард;40672946;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""ТОП"" АКСЕНТЬЄВ О.О. І КОМПАНІЯ""";49006 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРО, Філософська, буд.84, корп.22, оф.(кв.)кабінет 212;Андрєєв Олексій Олександрович;06.12.2016
109;Кредитна спілка;40434582;"Кредитна спілка ""Сейфті Депозіт""";29000 ХМЕЛЬНИЦЬКА ОБЛАСТЬ, ХМЕЛЬНИЦЬКИЙ, МІСТО ХМЕЛЬНИЦЬКИЙ, Подільська, буд.25, корп.-, оф.(кв.)-;Савчук Олена Вікторівна;06.12.2016
110;Фінансова компанія;40340746;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ЄВРОІНВЕСТ""";04074 КИЇВ, КИЇВ 74, Казанська, буд.18;Барабаш Наталія Дмитрівна;06.12.2016
111;Фінансова компанія;39706112;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЛЬЯНС ФІНАНС ГРУП""";01004 КИЇВ, КИЇВ 4, БАСЕЙНА, буд.5 Б, корп.-, оф.(кв.)-;РИНДА ОЛЕНА ГРИГОРІВНА;06.12.2016
112;Фінансова компанія;39705957;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РЕСУРС-ФІНАНС""";01103 КИЇВ, КИЇВ 103, БУЛЬВАР ДРУЖБИ НАРОДІВ, буд.14/16, корп.-, оф.(кв.)-;КУШКА ІВАН ГРИГОРОВИЧ;06.12.2016
113;Інша кредитна установа;40555253;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОСТОКРЕДИТ""";61058 ХАРКІВСЬКА ОБЛАСТЬ, ХАРКІВ, МІСТО ХАРКІВ, Чичибабіна, буд.2, оф.(кв.)30;Резнік Віта Вікторівна;29.11.2016
114;Інша кредитна установа;40849234;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «KВІК МАНІ»;04053 КИЇВ, КИЇВ 53, Обсерваторна , буд.13/15, корп.0, оф.(кв.)43;Карелін   Олексій Володимирович;24.11.2016
115;Фінансова компанія;40860735;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ВІВА КАПІТАЛ»;20603 ЧЕРКАСЬКА ОБЛАСТЬ, ШПОЛЯНСЬКИЙ РАЙОН ШПОЛА, вулиця Таранця, буд.20, корп.-, оф.(кв.)-;Логвінов Вадим Анатолійович;22.11.2016
116;Фінансова компанія;40605953;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІКС-ЧЕЙНДЖ""";02183 КИЇВ, КИЇВ 183, Кибальчича, буд.13-А;Дорошенко Артем Олександрович;22.11.2016
117;Фінансова компанія;40598014;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІН КАПІТАЛ ПЛЮС""";02218 КИЇВ, КИЇВ 218, Райдужна, буд.4;Фастов Олексій Олексійович;22.11.2016
118;Фінансова компанія;40186572;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ТРАНСФЕР ГРУП""";03680 КИЇВ, КИЇВ 680, Ділова, буд.5-Б;Михальченко Інесса Миколаївна;22.11.2016
119;Фінансова компанія;40848105;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ЕЛІТ-ФАКТОР""";73000 ХЕРСОНСЬКА ОБЛАСТЬ, ХЕРСОН, МІСТО ХЕРСОН, Соборна, буд.32, корп.-, оф.(кв.)-;Кручиненко Вікторія Анатоліївна;17.11.2016
120;Інша кредитна установа;40831678;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СТАРТАП ФІНАНС""";03083 КИЇВ, КИЇВ 83, проспект Науки, буд.50;Коптегін Артем В`ячеславович;08.11.2016
121;Фінансова компанія;40398953;"Товариство з обмеженою відповідальністю ""Фінансова компанія ""Інком Фінанс""";03040 КИЇВ, КИЇВ 40, проспект Голосіївський, буд.70;Сідорова Тетяна  Анатоліївна;08.11.2016
122;Фінансова компанія;40398859;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""СПЕКТР""";03040 КИЇВ, КИЇВ 40, проспект Голосіївський, буд.70;Знак Роман Вікторович;08.11.2016
123;Фінансова компанія;40398691;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""ТАКТ""";03040 КИЇВ, КИЇВ 40, проспект Голосіївський, буд.70;Клєстова  Наталія Миколаївна;08.11.2016
124;Ломбард;40570245;"Повне Товариство ""Єгорова і Компанія ""Ломбард Капитал""";69118 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, Новокузнецька, буд.12;Солило Олександр Іванович;03.11.2016
125;Фінансова компанія;40842831;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КОШЕЛЬОК""";02095 КИЇВ, КИЇВ 95, Срібнокільска, буд.22, оф.(кв.)174;Резнік  Віта  Вікторівна;01.11.2016
126;Фінансова компанія;40688762;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛЕВ КАПІТАЛ""";65045 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ОДЕСА, вулиця Троїцька, буд.43 А;Сторожук  Алла Олександрівна;01.11.2016
127;Кредитна спілка;40025979;"КРЕДИТНА СПІЛКА ""СІНДІКАТ""";65481 ОДЕСЬКА ОБЛАСТЬ, ОДЕСА, МІСТО ЮЖНЕ, проспект Григорівського Десанту, буд.28, оф.(кв.)72;Дудник Андрій Петрович;25.10.2016
128;Ломбард;40785213;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""ГАРАНТ"" ШАБУНІН П.П. І КОМПАНІЯ""";87400 ДОНЕЦЬКА ОБЛАСТЬ, МАНГУСЬКИЙ РАЙОН МАНГУШ, Котанова, буд.100;Шабуніна Наталя Петрівна;20.10.2016
129;Фінансова компанія;40798400;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АКТИВ+""";03150 КИЇВ, КИЇВ 150, ТВЕРСЬКА, буд.6, оф.(кв.)306;Балашов Віталій Володимирович;18.10.2016
130;Ломбард;40697630;"Повне Товариство ""Місюра і Компанія ""Ломбард Капитал""";69057 ЗАПОРІЗЬКА ОБЛАСТЬ, ЗАПОРІЖЖЯ, МІСТО ЗАПОРІЖЖЯ, проспект Соборний (проспект Леніна), буд.156;Бобровніков Євген Вікторович;18.10.2016
131;Фінансова компанія;40124186;ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ФІНАНСОВА КОМПАНІЯ «ФІНГРАНТ»;03179 КИЇВ, КИЇВ 179, ПРОСПЕКТ ПЕРЕМОГИ, буд.131, оф.(кв.)приміщення 3;Гордієнко Андрій Володимирович;18.10.2016
132;Фінансова компанія;39713088;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНАНСОВА КОМПАНІЯ ""АМАДЕУС""";08300 КИЇВСЬКА ОБЛАСТЬ, БОРИСПІЛЬСКИЙ РАЙОН БОРИСПІЛЬ, ВОЛОДИМИРА МОМОТА, буд.40, корп.-, оф.(кв.)1;Єльчик Олег Миколайович;18.10.2016
133;Ломбард;40843070;"ПОВНЕ ТОВАРИСТВО ""ЛОМБАРД ""ПАРУС ІНВЕСТ"" І КОМПАНІЇ""";01024 КИЇВ, КИЇВ 24, ЛЮТЕРАНСЬКА, буд.30, оф.(кв.)54;МОЗГОВИЙ ОЛЕКСАНДР СЕРГІЙОВИЧ;13.10.2016
